he_test ['העומד' 'שפסלו' 'האקס']
העומד (HVMD):	haomed	['haomed', 'homed']
רבותה (RVVTH):	rvutah	['rvuteh']
דכנפיהם (DCHNFYHM):	dkanpehem	['dkanpeyhem']
אומדה (VMDH):	omdh	['umeda']
עגן (GN):	agan	['ogn', 'egan', 'agan', 'ogen']
ספניות (SFNYVT):	safniut	['sapanyut']
מחבב (MCHVV):	mkhabev	['mkhavv', 'mkbev', 'mkhabev']
אריתה (RYTH):	arith	['arit']
הגיעו (HGYV):	higiu	['hagyo', 'higio', 'higiu', 'higiv', 'hagiu']
ךן (CHN):	ken	['chanh', 'ken']
שהשוקים (SHSVQYM):	shehashukim	['shehashvakim']
פרוקן (FRVQN):	parokan	['prokan']
ונתחברין (VNTCHVRYN):	vnitkhabrin	['vnitkhabrin']
פחדן (FCHDN):	pakhadan	['pakhdan', 'pakdn']
דאתקדשי (DTQDSY):	dhitkadshe	['dhitkadshe', 'dhitkadshi']
המצאות (HMTZVT):	hamatsaot	['hamtsaut', 'hamotsot', 'himatsut']
המורבדר (HMVRVDR):	hmorbeder	['hmurbedr']
דלה (DLH):	dla	['dal', 'dele', 'dlah', 'dileh', 'dolh', 'dale', 'dla', 'dlo', 'dle', 'delh', 'dalh', 'dalo', 'dala', 'del', 'dela']
פנומברה (FNVMVRH):	penombra	['penumbra']
בבלגני (VVLGNY):	bbalgani	['bblegni']
מתכונים (MTCHVNYM):	mitkaunim	['mtkavnim', 'matkonim', 'mitkavnim', 'mitkaunim']
קטיגורא (QTYGVR):	kategora	['kategora', 'kataegora']
שמשמדים (SMSMDYM):	shemshamadim	['shemshamdim']
וחרוצה (VCHRVTZH):	vkharotse	['vkharutsa']
חתן־דמים (CHTN_DMYM):	khatan-damim	['khatan-damim']
אטעמה (TMH):	atamh	['etamh']
הבחרומי (HVCHRVMY):	habakharumi	['habakharumi']
דזג (DZG):	dzag	['dzag']
מוז׳ייסקויה (MVZHYYSQVYH):	mojeyyskoye	['mojayyskoye']
שענביו (SNVYV):	sheanavav	['sheanavav']
ריגל (RYGL):	rigal	['reygal']
דאכניש (DCHNYS):	dakhnish	['dakhnish', 'dakhnesh']
מהנחל (MHNCHL):	mhanakhal	['mehanakhal']
ונשטפו (VNSTFV):	vnishhtapu	['vnishtfu']
וולאנדר (VVLNDR):	volander	['volnder']
קוזמינישנה (QVZMYNYSNH):	kozminsna	['kuzmynishna']
שוכחים (SVCHCHYM):	shokkhim	['shokhkhim']
הסודסי (HSVDSY):	hsodsi	['hsudasi']
שהשחיטה (SHSCHYTH):	shehashkhita	['shehashkhita']
את־אלהיהם (T_LHYHM):	et-elohehem	['et-elohehem']
ובמישור (VVMYSVR):	uvmishur	['ubimyshor', 'uvmishor', 'uvamishor']
יכבשם (YCHVSM):	ykabshem	['yikhbshem']
מרור (MRVR):	mror	['merur', 'marur', 'murur', 'maror', 'mror']
ד׳הרת (DHHRT):	tharat	['thahrat']
במצותך (VMTZVTCH):	bimtsutkha	['bmitsotecha', 'bmitsvtecha']
ולליגה (VLLYGH):	vlliga	['vlaliga']
להשפילה (LHSFYLH):	lhashpilh	['lhashpilah']
ז׳ראר (ZHRR):	jarar	['jerar']
הבטטה (HVTTH):	hbatata	['hbatata']
לנשמתן (LNSMTN):	lnishmatan	['lnishmatan']
באחרים (VCHRYM):	bakhorim	['baakherim', 'baakrim', 'bakherim']
ליתברך (LYTVRCH):	litbarekh	['lyitbarakh']
ונקודין (VNQVDYN):	vnikudin	['vnkudin', 'vnikudin']
ויצנח (VYTZNCH):	vyitsnakh	['vayitsnakh', 'vayitsnkh']
מן־ארעא (MN_R):	min-ara	['min-ara']
שממתינים (SMMTYNYM):	shemamtinim	['shemamtinim']
ונשקעו (VNSQV):	vnishku	['vnishku']
ובוסמא (VVVSM):	uvusma	['uvusma']
מרקטקירכה (MRQTQYRCHH):	mrktyrka	['marktkirke']
פרלג (FRLG):	parlag	['ferlag']
ואל־ארבע (VL_RV):	vel-arba	['vel-arba']
שכולם (SCHVLM):	shekolam	['shekulam', 'sekulam']
הותה (HVTH):	havatah	['havath']
נפרץ (NFRTZ):	nifrets	['nifrats', 'nifrots']
הולדתים (HVLDTYM):	holadtim	['huladtayim']
ימהלנו (YMHLNV):	yimalenu	['yimhalenu']
אכילו (CHYLV):	akhilu	['akhilu']
שגבוה (SGVVH):	shegvuoha	['shegavohh']
יזדעק (YZDQ):	yizdak	['yizdaek']
בבורני (VVVRNY):	bborani	['bvurni']
ו׳בירה (V_VYRH):	wbyara	['uvira']
כי־ראתה (CHY_RTH):	ki-raata	['ki-raata']
גיפיה (GYFYH):	gipeyha	['gepeyh']
ושמצה (VSMTZH):	vshmatsa	['vsimtsa']
הקאצ (HQTZ):	hkaatse	['hkets']
מרחימהא (MRCHYMH):	markhimaa	['merkhimaa']
את־האחז (T_HCHZ):	et-haakhaza	['et-haakhuz']
וטירת (VTYRT):	vtirat	['vtirat']
ושבעת (VSVT):	vshivat	['vshvuat', 'vshivat', 'vsavath', 'vsvahth']
יתיחד (YTYCHD):	yityakhed	['yityakhed']
וממהרת (VMMHRT):	vmmaeret	['vmmaeret']
ותקפיהון (VTQFYHVN):	vtakpehon	['vtakipeyhon']
ושיחזיר (VSYCHZYR):	vshekhazir	['vsheyakhazir']
לטפליא (LTFLY):	ltaflaya	['ltaflaya']
ניצוצא (NYTZVTZ):	nitsotsa	['nitsotsa']
סיפריטו (SYFRYTV):	sifrito	['sifrito']
וודקוק (VVDQVQ):	vodok	['vudkok']
בדבר־גד (VDVR_GD):	bdaber-gad	['bidvar-gad']
שחולבות (SCHVLVVT):	shekolbot	['shekolvot']
דאיסוק (DYSVQ):	disok	['disuk']
שיפמי (SYFMY):	sheyifmi	['sipmei']
שיתיא (SYTY):	sheyatya	['shitya']
גאוני (GVNY):	goni	['goni', 'gonei']
תצפה׳ (TTZFH_):	titspe	['ttsape']
איתני (YTNY):	iteni	['eitanei', 'eitani', 'eitanay']
טנקים (TNQYM):	tankim	['tankim']
ברצועין (VRTZVYN):	birtsuin	['birtsuin']
חובלת (CHVVLT):	khovlat	['khovelet']
הנפולה (HNFVLH):	hanpola	['hanpula', 'hanfula']
היגה (HYGH):	hyge	['hige']
אוסטרלופיתקוס (VSTRLVFYTQVS):	osterlopitkus	['ostralopitekus']
רומנטית (RVMNTYT):	romantyt	['romantyt']
שאובים (SVVYM):	shovim	['shuvim']
ומחזירים (VMCHZYRYM):	vmakhzirim	['vmakhzirim', 'umakhazirim']
הדרכה (HDRCHH):	hadarkah	['hadrak', 'hadrakha']
מחלצי (MCHLTZY):	mekhalatsi	['mekhalatsay', 'mekhalatsei']
לחוטא (LCHVT):	lkhuta	['lakote', 'lkhuta']
גנדהבות (GNDHVVT):	gandhavot	['gandhabot']
וסוואז׳נדז (VSVVZHNDZ):	vsojendz	['vsvavajendz']
ספרותית (SFRVTYT):	sifrutit	['siprutit']
ובן־נעריה (VVN_NRYH):	uven-naarya	['uven-narya']
ג׳ונאיצ׳ירו (JVNYTSHYRV):	junichiiro	['junichiyro']
ויעקבה (VYQVH):	vayaakeva	['vyaakovh', 'vyaakba']
קיונרד (QYVNRD):	kyonrd	['kyunard']
הגרושין (HGRVSYN):	hagrushin	['hagerushin', 'hagerusin']
זבחיהם (ZVCHYHM):	zivkehem	['zivkehem']
בנעם (VNM):	bnem	['bnoam', 'bnam']
תשל (TSL):	tishal	['tashli', 'tasl']
שעוסק (SVSQ):	sheosek	['seosek', 'sheosek']
לבלגן (LVLGN):	lvalgan	['lvalgen']
אהבתיך (HVTYCH):	ahavtikh	['ahavtikh']
כנפא (CHNF):	knafa	['kanpa']
ופאתוסה (VFTVSH):	vpatosa	['vpaetush']
אף־ישועתנו (F_YSVTNV):	af-yshuatenu	['af-yshuatenu']
בישבו (VYSVV):	byisbo	['byasbo']
מאלטא (MLT):	malta	['malta']
האסור (HSVR):	haasur	['haesur', 'haasur', 'haisur', 'heasur']
בולשביזם (VVLSVYZM):	bolsbizm	['bolsvizm']
מתכסיא (MTCHSY):	mitkasya	['mitkasya']
תיכרית (TYCHRYT):	tikrit	['tikrit']
בתכל (VTCHL):	bitkal	['btekhel']
מתהוה (MTHVH):	mithaue	['mthaue']
המועלים׳ (HMVLYM_):	hamoalim	['hmoalim']
אוכלסא (VCHLS):	oklsa	['okhlasa', 'ukhlusa']
נתתי (NTTY):	ntati	['nutati', 'natati', 'natti', 'nitatei']
אורנומטריה (VRNVMTRYH):	ornomatriya	['uranometri']
אפיקורס (FYQVRS):	epikors	['epikors', 'epikores']
והיין (VHYYN):	vheyyn	['vhayayin']
ה״מלאיה (H_MLYH):	hmalie	['hmelaih']
מבדרות (MVDRVT):	mibderot	['mvadrot']
והקדשן (VHQDSN):	vhakadashan	['vhekdeshan']
וסוקלים (VSVQLYM):	vsoklim	['vsoklim']
לבניש (LVNYS):	lvanish	['levenis']
ממקור (MMQVR):	mimkor	['mmakor', 'mimakor', 'mimkor']
בקונך (VQVNCH):	bkoncha	['bkoncha']
ברגדל (VRGDL):	bragdal	['bergdal']
דשיזבן (DSYZVN):	dshezvan	['dshezban']
חיוביה (CHYVVYH):	khiyuvi	['khiyuveyh']
ואת־עזה (VT_ZH):	vet-azah	['vet-azah']
שפחה (SFCHH):	shifkh	['sifkh', 'shifkh']
להגוף (LHGVF):	lhaguf	['lhaguf']
ותפתי (VTFTY):	vtafati	['utpati']
אדוניו (DVNYV):	adonav	['adunav', 'adonav']
במוס (VMVS):	bmos	['bmusa']
המכרכמה (HMCHRCHMH):	hmkarkama	['hmkurkam']
שואה (SVH):	sue	['sho', 'sue', 'shoa', 'soh', 'so', 'sua']
ובבחינה (VVVCHYNH):	uvivkhina	['uvivkhina']
דורדייה (DVRDYYH):	durdyeh	['durdyeh', 'durdayay', 'durdayeh']
בתיהם (VTYHM):	batehem	['batehem']
בתרגום (VTRGVM):	btargum	['btirgum', 'bitirgum', 'btargum', 'batargum']
ויתחלחל (VYTCHLCHL):	vyitkhalkhal	['vayitkhalkhal']
ותסלח (VTSLCH):	vtislakh	['vtislakh']
אמחסייני (MCHSYYNY):	amkhasyayni	['imkseyyni']
עלליך (LLYCH):	alalayikh	['olalayikh']
דהחשתי (DHCHSTY):	dhakhashati	['dheksheti']
ויספרו (VYSFRV):	vayispru	['vayisafru', 'visapro', 'visafru', 'vaysprv', 'visapru', 'vaysapru']
ברכת־יהוה (VRCHT_YHVH):	birkat-yhva	['birkat-yhva']
צמאהשקהו (TZMHSQHV):	tsmahashkehu	['tsamehashkehu']
קרצוהי (QRTZVHY):	kartsuhi	['kartsuohi', 'kurtsuohi']
ופריטא (VFRYT):	vfrita	['ufrita']
בתמורה (VTMVRH):	bitmura	['bitmura', 'batmura']
ולא־בריח (VL_VRYCH):	vlo-briakh	['vlo-vriakh']
ולדחק (VLDCHQ):	vldakhek	['vlidkhok']
הקרו (HQRV):	hikrv	['hkro']
אכוואן (CHVVN):	akavvan	['akvun']
פטרוגרפיה (FTRVGRFYH):	petrografya	['petrografya']
ודורונא (VDVRVN):	vdorona	['vdorona']
הקבלרוס (HQVLRVS):	hkabalrus	['hkavaleros']
פילקתא (FYLQT):	pilkata	['pilakta']
קינקה (QYNQH):	kinka	['kinka']
ובכותים (VVCHVTYM):	vvkhutim	['vvkhutim']
נטשים (NTSYM):	ntashim	['ntushim']
שורינדאונה (SVRYNDVNH):	surindauna	['svrindauana']
בעלי־מומין (VLY_MVMYN):	baale-mumin	['baale-mumin']
סנקאי (SNQY):	sankaei	['senkei']
הכותח (HCHVTCH):	hakoteakh	['hakutakh']
העמיות (HMYVT):	haamiot	['haamiut']
פתיא (FTY):	patya	['ptaya', 'patya']
דנסיתא (DNSYT):	dinsita	['dinsita']
ל״הפתחה (L_HFTCHH):	lhapitkha	['lhapetkha']
המדף (HMDF):	hmdaf	['hamadaf']
ורקלוייטה (VRQLVYYTH):	verkloyyta	['verkloyyte']
יעסר (YSR):	yaasor	['yaaser', 'yaser']
פאליי (FLYY):	palyi	['palei']
אאורקה (VRQH):	aureke	['eurekh', 'eurka']
מקצרה (MQTZRH):	miktsara	['maktserh']
בלינדי (VLYNDY):	blindi	['blindi']
לא־תעשק (L_TSQ):	lo-taashok	['lo-taashok']
והולידו (VHVLYDV):	vholido	['vholidu']
החיטין (HCHYTYN):	hakhitin	['hakhitain', 'hakhayatin']
נחזה (NCHZH):	nekze	['nkza', 'nekheze']
ומעליה (VMLYH):	vmaaleyh	['vmealeyha']
בלתזר (VLTZR):	blatezer	['baltazar']
מבסוטים (MVSVTYM):	mibsotim	['mabsutim']
נודדות (NVDDVT):	noddot	['noddot']
לבוכרה (LVVCHRH):	lvuchrah	['lbukharh']
בהר־אדני (VHR_DNY):	bhar-adonay	['bhar-adonay']
זבון (ZVVN):	zvun	['zvun', 'zbun']
כתביעה (CHTVYH):	kitvia	['kitbia']
קברנא (QVRN):	kivrana	['kivrana']
מיתב (MYTV):	mitav	['mitav', 'meitav']
בגושאלה (VGVSLH):	bgushala	['bgosalh']
אביטוב (VYTVV):	avitov	['avituv']
דזהיינג (DZHYYNG):	dzheying	['dzhyinga']
התרבה (HTRVH):	hitrabe	['hitrabh', 'hitrbe']
לא־כן (L_CHN):	lo-ken	['lo-ken']
שמיזאקי (SMYZQY):	shmizaki	['smiazaki']
דינגיד (DYNGYD):	dingid	['dyangid']
גרבישמן (GRVYSMN):	garbishman	['garbeyshemen']
מליקתו (MLYQTV):	mlikato	['mlikato']
דליפה (DLYFH):	dlipa	['dlipa']
תלכו־בה (TLCHV_VH):	tilku-vah	['telkhu-vah']
הג׳נאני (HJNNY):	hjenani	['hghnani']
כפתחו (CHFTCHV):	kpitkhu	['kpitkho']
שפשטה (SFSTH):	shpashtah	['shepshatah', 'shepashta']
טטטה (TTTH):	tatte	['tatata']
כי־רע (CHY_R):	ki-ra	['ki-ra']
רקויזיציות (RQVYZYTZYVT):	rikuyzyot	['rekuizytsyot']
דמענן (DMNN):	dimanan	['dimanan']
שהרינסנסה (SHRYNSNSH):	sharinsa	['seharenesansa']
קינשפר (QYNSFR):	kinsper	['kinsefer']
וסעיף (VSYF):	vsaif	['vsaif']
והדילועין (VHDYLVYN):	vhadiluin	['vhadiluin']
וסאון־ירדן (VSVN_YRDN):	vsaun-yarden	['vson-yarden']
איליוס (YLYVS):	ilius	['ilivs']
ו״אנפן (V_NFN):	vanpen	['vanpan']
לנחר (LNCHR):	lnakhar	['lnakhur', 'linkhor', 'lnakor']
הפלורידיטה (HFLVRYDYTH):	hploridita	['hploridita']
נסועה (NSVH):	nsua	['nsua']
תתברך (TTVRCH):	titbarekh	['titbarekh', 'titbarakh']
סוטנטיקה (SVTNTYQH):	sutantika	['sutaantika']
יועצרו (YVTZRV):	yoatsro	['yuatsaru']
שעזי (SZY):	shazi	['suzai', 'sheazae', 'sheizaay']
בשגגת (VSGGT):	bishgagat	['bshiggat']
לרושחתא (LRVSCHT):	lroshkhata	['lrushkhata']
רונן (RVNN):	ronen	['ronen', 'runan', 'runen']
יענש (YNS):	yaanash	['yeanish', 'yeans', 'yens', 'yans', 'yeanesh']
וקונטיננטל (VQVNTYNNTL):	vkontinantal	['vkontinental']
שכפו (SCHFV):	shekifu	['shkafu']
הנלחמים (HNLCHMYM):	hanilkhamim	['hanilkhamim']
רפלקטיביים (RFLQTYVYYM):	reflektiviim	['reflektiviyim']
סטורו (STVRV):	storo	['stuֺruֺ']
בגיריה (VGYRYH):	bgireha	['bgireh']
ולא־סר (VL_SR):	vlo-sar	['vlo-sar']
מוא״ו (MV_V):	muav	['miuav']
ואמירת (VMYRT):	vaamirat	['vaamirat']
וונדר (VVNDR):	vonder	['vunder']
הציתנות (HTZYTNVT):	hatsitanut	['htsaytnut']
ומסכות (VMSCHVT):	vmsakot	['vmasekot']
לוקיד (LVQYD):	lokyd	['lokid']
להפקירה (LHFQYRH):	lhafkira	['lhafkirah']
האצלות (HTZLVT):	haatslut	['haatsulot']
להשוותן (LHSVVTN):	lhashvavtan	['lhashvotan']
שהטבילוה (SHTVYLVH):	sheitbiluha	['sheitbiluha']
וויקרס (VVYQRS):	vivykers	['vvikers']
לשיפי (LSYFY):	lshifi	['lsipi']
מב֥ית (MV_YT):	mibe֥yt	['miba֥yit']
ובדיבן (VVDYVN):	uvdiva	['uvdibon']
חטיל (CHTYL):	khatil	['khatail']
מהודקין (MHVDQYN):	mehodkin	['mhudakin']
לגויי (LGVYY):	lguyei	['lgoyei']
שיבלי (SYVLY):	sheyivle	['shivli']
בסריגות (VSRYGVT):	bisrigot	['bisrigot']
מ׳ערער (M_RR):	marar	['mirer']
דקבלתא (DQVLT):	dkablata	['dkabelta']
המנערת (HMNRT):	hamnaeret	['hmneret']
על־זקן (L_ZQN):	al-zakan	['al-zaken']
בתיקונייהו (VTYQVNYYHV):	btikunayyhu	['btikunayyhu']
זומר (ZVMR):	zomer	['zomr', 'zomer']
ותפשט (VTFST):	vtipshat	['vtifshot']
עד־באנה (D_VNH):	ad-bana	['ad-boana']
ועבודת־כוכבים (VVVDT_CHVCHVYM):	vaavodat-kokavim	['vaavodat-kokavim']
טרפכן (TRFCHN):	tarpeken	['tarpken']
אביגל (VYGL):	avigal	['avigal']
פוצ׳ום (FVTSHVM):	pochom	['pochom']
ובצד (VVTZD):	uvtsad	['vvtsad', 'uvatsad', 'uvtsad']
ידעוך (YDVCH):	ydaukh	['ydaukh', 'ydaucha']
ותפיסה (VTFYSH):	vtfisa	['vtfisa']
שבן־אדם (SVN_DM):	sheban-adam	['sheben-adam']
להפשיר (LHFSYR):	lhafshir	['lhafshir']
שקתיר (SQTYR):	shekaatir	['saktyr']
הצבאת (HTZVT):	hatsavat	['hatsovhot', 'htsovot']
יסהג (YSHG):	yisaeg	['yishag']
ינגיד (YNGYD):	yangid	['yangid']
העתידה (HTYDH):	haatida	['haatida']
והנחתיו (VHNCHTYV):	vhinakhtav	['vhinakhtiv']
ג׳אבר (JVR):	jaaver	['gaabir', 'jaabar']
בבדיקתו (VVDYQTV):	bivdikato	['bivdikato']
שאהבתי (SHVTY):	sheahavti	['seahavti', 'sheahavti']
אמיה (MYH):	amya	['umaya', 'umi', 'imeh', 'imeih']
אאל (L):	ael	['alh', 'al', 'ael']
התטר (HTTR):	hatiter	['hatitar']
על־עיניו (L_YNYV):	al-einav	['al-einav']
תתכן (TTCHN):	titkan	['ttakn']
ופרווילי (VFRVVYLY):	vprovili	['ufarvivile']
קמתי (QMTY):	kamati	['kamte', 'kamti']
הנקרש (HNQRS):	hanikrash	['hanikrash']
נבונת (NVVNT):	nvonet	['nvonat']
וכל־לאמים (VCHL_LMYM):	vkhal-lamim	['vkhal-lumim']
ותוים (VTVYM):	vtavim	['vtavim']
כ״ס (CH_S):	kas	['kes']
ואתסין (VTSYN):	vitsin	['vitsin']
טקולא (TQVL):	takula	['takula']
להעלותם (LHLVTM):	lhaalotam	['lhaalotam']
לעצמות (LTZMVT):	latsmut	['laatsamut', 'laatsamot']
כדמתרגם (CHDMTRGM):	kidmatrgem	['kdimtargem']
אירביד (YRVYD):	irbid	['irbid']
שקבלוהו (SQVLVHV):	shekaivluhu	['shekaibluhu']
ובר־לבב (VVR_LVV):	uvar-levav	['u,var-levav', 'vvar-levav']
לחוצפית (LCHVTZFYT):	lkhutsfit	['lkhutspit']
דגנתא (DGNT):	dganta	['dginta']
שלמה״כמובן (SLMH_CHMVVN):	shelemuven	['slomohkmuvn']
פיאצי (FYTZY):	pyetsei	['p,yatsi']
דמתהתכי (DMTHTCHY):	dmithatke	['dmithatke']
ואומאה (VVMH):	vomaa	['vomaa']
כשישלים (CHSYSLYM):	ksheyishalim	['ksheyashlim']
מכשליש (MCHSLYS):	makshlish	['mikishlish']
דשונאיהן (DSVNYHN):	dshoneihen	['dhsoneihen']
דישתצך (DYSTTZCH):	dyishttskha	['dyishhtetsakh']
מי־שת (MY_ST):	mi-shet	['mi-shat']
שלחתי (SLCHTY):	shilakhti	['shalakhti', 'shulakhti', 'shilakhti']
לבוריסובקה (LVVRYSVVQH):	lborisovka	['lborisuovka']
מלחמתו (MLCHMTV):	milkhamto	['milkhamto']
שסנצ׳ס (SSNTSHS):	ssanches	['ssanches']
ישמיט (YSMYT):	yashmit	['yashmit']
הדורס (HDVRS):	hadores	['hadores']
אתנועע (TNV):	etnoaa	['etnoea']
כשג׳יימס (CHSJYYMS):	ksjeyymes	['ksjeyyms']
ובנביא (VVNVY):	vvnavi	['uvanavi', 'vvnavi']
והנחיתה (VHNCHYTH):	vhankhita	['vhankhita']
גמוליו (GMVLYV):	gmulav	['gmulav']
אוטצה (VTTZH):	ottse	['ottsa']
ובאתרא (VVTR):	vvitra	['vvatra']
וקמח (VQMCH):	vkamakh	['vkemakh']
בתחתיהן (VTCHTYHN):	btakhtehen	['btakhtehen']
לקבלגה (LQVLGH):	lkablaga	['lkabalega']
שינגחו (SYNGCHV):	singkhu	['synagkhu']
להשך (LHSCH):	lhasekh	['lhashekh', 'lhasekh']
הפנצ׳ן (HFNTSHN):	hpenchen	['hpanchen']
הקרנטין (HQRNTYN):	hkarantin	['hkarantyn']
נינגמה (NYNGMH):	ningma	['nyingma', 'ningma']
מקטועי (MQTVY):	mikatuei	['miktuei']
ההמשגה (HHMSGH):	hhmsge	['hhamsag']
לאתייחסו (LTYYCHSV):	lityaykhasu	['lityaykhasu']
הרהיבני (HRHYVNY):	hirhiveni	['hirhivuni']
הקרטיקונית (HQRTYQVNYT):	hkartikonit	['hkretikonyt']
דנקטא (DNQT):	dnikta	['dnakta']
ותססים (VTSSYM):	vtassim	['vtasasim']
ל׳׳י (L__Y):	lyi	['lyh']
מזמרי (MZMRY):	mzamri	['mzamre']
תוכחתי (TVCHCHTY):	tokakhti	['tokakhti']
האיגניקה (HYGNYQH):	hignikh	['heigenik']
לפתוס (LFTVS):	liftos	['lfatos']
סיגלו (SYGLV):	siglo	['siglu']
כשהצרעה (CHSHTZRH):	kshehatsara	['kshetsira']
מע׳לס (M_LS):	mels	['mughalis']
בטפל (VTFL):	btafel	['btafel']
סקארסדייל (SQRSDYYL):	skarsdyeyl	['skarsdeyyl']
ראתה (RTH):	rata	['rat', 'raata', 'raith', 'reatah', 'raath']
ואוורינקה (VVVRYNQH):	vourinka	['vuvrinkh', 'vauvrinkh']
הנבלעין (HNVLYN):	hanivlain	['hanivlain']
מלכישוע (MLCHYSV):	malkishua	['malkishua']
הידרו (HYDRV):	hayadro	['hidrov']
דפקדתך (DFQDTCH):	dpakedatcha	['difakaedtakh']
נתקבץ (NTQVTZ):	nitkabets	['nitkabets']
אסערותי (SRVTY):	asaruti	['asaaruti', 'asaruti']
במדותיהם (VMDVTYHM):	bimdoteyhem	['bmidotehem']
יצרי (YTZRY):	yitsri	['yotsre', 'yitsre', 'yotsri', 'ytsurei', 'yitsri']
וינער (VYNR):	vyinar	['vinaer', 'vaynaer', 'vayinaer']
במלולייהו (VMLVLYYHV):	bimlulayyhu	['bmilulayyhu']
למתקוממי (LMTQVMMY):	lmitkommei	['lmitkommi']
והלמו (VHLMV):	vhilmo	['vhalmu']
שמבאס (SMVS):	shemvaes	['sambas']
הופעתי (HVFTY):	huofati	['huofati']
טררם־פם־פם (TRRM_FM_FM):	tarram-pam	['tararam-pam-pam']
כלונסן (CHLVNSN):	klonsen	['klonsan']
בסטנפור (VSTNFVR):	bstanpur	['bastanpur']
עכה (CHH):	akh	['akh']
בועלין (VVLYN):	boalin	['boalin']
כתרשיש (CHTRSYS):	ktarshish	['ktarshish', 'katarshish']
לפרף (LFRF):	lifrof	['lifrof']
ומסיתין (VMSYTYN):	vmsitin	['vmsitin']
כשכעס (CHSCHS):	kshekaes	['kshekaas']
מדבר־שקר (MDVR_SQR):	midbar-sheker	['midhvar-sheker']
בחיפה (VCHYFH):	bkhiph	['bkheypa', 'bkhaypa', 'bkhepo', 'bkhayp']
המטהרין (HMTHRYN):	hamatharin	['hamtaharin']
בבירה (VVYRH):	bvira	['bvira', 'babira', 'bavira']
גוטס (GVTS):	gotes	['gotas']
תפוק (TFVQ):	tafuk	['tipuk', 'tifok', 'tepok', 'tefuk', 'tifuk', 'tipok']
כפרניהון (CHFRNYHVN):	kafarneihon	['kafraneyhon']
לשאיבתן (LSYVTN):	lishivatan	['lishibatan']
אשמתו (SMTV):	ashmato	['ashmato', 'ashmat,o']
לנשייה (LNSYYH):	linshayeyh	['linshiyay', 'lnshiay']
כדברו (CHDVRV):	kidbaru	['kdabaro']
שעוסקת (SVSQT):	sheoseket	['sheoseket']
ערמתי (RMTY):	aramti	['armati']
למחר (LMCHR):	limkhar	['limkhar', 'lmakhar', 'lamkr', 'lmkhar', 'lamakhar']
מעשיתעשיה (MSYTSYH):	maasyitasheh	['mastasiyh']
לדברור (LDVRVR):	ldabror	['ldivrur']
אינטילת (YNTYLT):	intilat	['intilat']
הגדתי (HGDTY):	higadti	['higadti']
בישתו (VYSTV):	bishato	['biyashto']
חריק (CHRYQ):	kharik	['khrek', 'khirik']
ותעבוד (VTVVD):	vtaavod	['vtaavod']
ה״לך (H_LCH):	hlekh	['hlekh', 'hlcha']
את־אדניך (T_DNYCH):	et-adoneicha	['et-adoneicha']
והפותח (VHFVTCH):	vhapoteakh	['vhafoteakh']
דעבדתין (DVDTYN):	daavadtin	['daavadtin']
תחפנס (TCHFNS):	takhpanes	['takhpnes']
ובהקהיל (VVHQHYL):	uvhakail	['vvhakhil']
הסנטה (HSNTH):	hsanta	['hsanta']
מאזמחל (MZMCHL):	meuzmakl	['mazmakhul']
תצטער (TTZTR):	titstaar	['titstaer', 'titstaar']
גליז (GLYZ):	galiz	['geliz']
שאשה (SSH):	sase	['sish', 'sheishh', 'seishah']
לטבלה (LTVLH):	ltavle	['ltivlah', 'ltablah', 'ltavlah']
לסלקן (LSLQN):	lsalkan	['lsalkan']
פוסטבה (FVSTVH):	postava	['postbe']
לנץ (LNTZ):	lnets	['lents']
מאחאתא (MCHT):	meakata	['makhata']
ואל־תאכלו (VL_TCHLV):	val-tokhlu	['val-tokhlu']
וכל־אחיו (VCHL_CHYV):	vkhal-ekhav	['vkhal-ekhav']
זירכהעין (ZYRCHHYN):	zyirkhain	['zyirkhaayn']
שרשרות (SRSRVT):	sharsharsharot	['sarsrot', 'sharshrot']
דמתרוייהו (DMTRVYYHV):	dmitravayyhu	['dmitarvayyhu']
מישין (MYSYN):	miyeshin	['meysyn']
טיזהה (TYZHH):	tizha	['tizha']
משריש (MSRYS):	mashrish	['mashrish']
הסחרין (HSCHRYN):	hasakharin	['hsakharyn']
ייהדו (YYHDV):	yihadu	['yyahadv']
ומרבין (VMRVYN):	vmarbin	['vmarbin', 'vmrubin']
וולסתורפ (VVLSTVRF):	volstorp	['vulstorph']
שעשאוהו (SSVHV):	sheasauhu	['sheasauhu', 'sasauhu']
מלהיפך (MLHYFCH):	milhayapekh	['milhypkh']
התנגחו (HTNGCHV):	hitnagkhu	['hitnagkhu']
קטליא (QTLY):	katlaya	['ktalaya', 'katlaya']
כל־בית־ (CHL_VYT_):	kal-bet-	['kal-bet-']
וולומטרי (VVLVMTRY):	volometri	['volumetri']
והשבעות (VHSVVT):	vhashhvaot	['vhasbaut']
חיתיארית (CHYTYRYT):	khityarit	['khityarit']
שידין (SYDYN):	sheyadin	['shedin', 'sheyadin']
כגלם (CHGLM):	kgulam	['kgolem', 'kglem', 'kgolm']
וכבודו (VCHVVDV):	vkvuodo	['vkvuodo']
רוזנצויג (RVZNTZVYG):	rozentsuig	['rozntsvayg']
בפורפיא (VFVRFY):	bpurpaya	['bhfurpaya', 'bpurpaya']
וכפור (VCHFVR):	vkafur	['vkp,or', 'vkpor']
מתהלך (MTHLCH):	mithalekh	['mithalekh']
בחביתו (VCHVYTV):	bakhavitu	['bkhavito']
